,,Game Options:,Stereo And L=A,Stereo And L=A,,,Game Options:,Stereo And Help,Stereo And Help,,,Game Options:,Stereo And LR,Stereo And LR,,,Game Options:,Mono And L=A,Mono And L=A,,,Game Options:,Mono And Help,Mono And Help,,,Game Options:,Mono And LR,Mono And LR,,,Game Options:,Mono And LR,Mono And LR,,,Game Options:,Mono And L=A,Mono And L=A,,,Game Options:,Mono And Help,Mono And Help,,,Game Options:,Stereo And Help,Stereo And Help,,,Game Options:,Stereo And LR,Stereo And LR,,,Game Options:,Stereo And L=A,Stereo And L=A,,,Game Options:,Stereo And L=A,Stereo And L=A,,,Game Options:,Mono And L=A,Mono And L=A
,,Seed Button:,A,A,,,Seed Button:,A,A,,,Seed Button:,A,A,,,Seed Button:,A,A,,,Seed Button:,A,A,,,Seed Button:,A,A,,,Seed Button:,Start,Start,,,Seed Button:,Start,Start,,,Seed Button:,Start,Start,,,Seed Button:,Start,Start,,,Seed Button:,Start,Start,,,Seed Button:,Start,Start,,,Seed Button:,L,L,,,Seed Button:,L,L
,,Cartridge,FR ENGLISH 1.0 & 1.1,FR ENGLISH 1.0 & 1.1,,,Additional Held Buttons:,None,Select,,,Additional Held Buttons:,None,Select,,,Additional Held Buttons:,None,Select,,,Additional Held Buttons:,None,Select,,,Additional Held Buttons:,None,Select,,,Additional Held Buttons:,None,Select,,,Additional Held Buttons:,None,Select,,,Additional Held Buttons:,None,Select,,,Additional Held Buttons:,None,Select,,,Additional Held Buttons:,None,Select,,,Additional Held Buttons:,None,Select,,,Additional Held Buttons:,None,Select,,,Additional Held Buttons:,None,Select
,,Additional Held Buttons:,None,Select,,,Cartridge,FR ENGLISH 1.0 & 1.1,FR ENGLISH 1.0 & 1.1,,,Cartridge,FR ENGLISH 1.0 & 1.1,FR ENGLISH 1.0 & 1.1,,,Cartridge,FR ENGLISH 1.0 & 1.1,FR ENGLISH 1.0 & 1.1,,,Cartridge,FR ENGLISH 1.0 & 1.1,FR ENGLISH 1.0 & 1.1,,,Cartridge,FR ENGLISH 1.0 & 1.1,FR ENGLISH 1.0 & 1.1,,,Cartridge,FR ENGLISH 1.0 & 1.1,FR ENGLISH 1.0 & 1.1,,,Cartridge,FR ENGLISH 1.0 & 1.1,FR ENGLISH 1.0 & 1.1,,,Cartridge,FR ENGLISH 1.0 & 1.1,FR ENGLISH 1.0 & 1.1,,,Cartridge,FR ENGLISH 1.0 & 1.1,FR ENGLISH 1.0 & 1.1,,,Cartridge,FR ENGLISH 1.0 & 1.1,FR ENGLISH 1.0 & 1.1,,,Cartridge,FR ENGLISH 1.0 & 1.1,FR ENGLISH 1.0 & 1.1,,,Cartridge,FR ENGLISH 1.0 & 1.1,FR ENGLISH 1.0 & 1.1,,,Cartridge,FR ENGLISH 1.0 & 1.1,FR ENGLISH 1.0 & 1.1
#,Intro Time Ms (GBA),Intro Time MS (NDS-GBA),Seed,Seed,,Intro Time Ms (GBA),Intro Time MS (NDS-GBA),Seed,Seed,,Intro Time Ms (GBA),Intro Time MS (NDS-GBA),Seed,Seed,,Intro Time Ms (GBA),Intro Time MS (NDS-GBA),Seed,Seed,,Intro Time Ms (GBA),Intro Time MS (NDS-GBA),Seed,Seed,,Intro Time Ms (GBA),Intro Time MS (NDS-GBA),Seed,Seed,,Intro Time Ms (GBA),Intro Time MS (NDS-GBA),Seed,Seed,,Intro Time Ms (GBA),Intro Time MS (NDS-GBA),Seed,Seed,,Intro Time Ms (GBA),Intro Time MS (NDS-GBA),Seed,Seed,,Intro Time Ms (GBA),Intro Time MS (NDS-GBA),Seed,Seed,,Intro Time Ms (GBA),Intro Time MS (NDS-GBA),Seed,Seed,,Intro Time Ms (GBA),Intro Time MS (NDS-GBA),Seed,Seed,,Intro Time Ms (GBA),Intro Time MS (NDS-GBA),Seed,Seed,,Intro Time Ms (GBA),Intro Time MS (NDS-GBA),Seed,Seed
0,34322,34363,D572,D571,,34322,34363,964B,9652,,34322,34363,D572,D571,,34322,34363,D550,D54F,,34322,34363,D55A,D561,,34322,34363,D560,D55F,,34322,34363,D558,D557,,34322,34363,D553,D552,,34322,34363,D549,D550,,34322,34363,D562,D569,,34322,34363,9653,9652,,34322,34363,9642,9641,,34322,34363,9651,9650,,34322,34363,D54D,D54C
1,34339,34380,1EB5,1EB4,,34330,34372,D574,D57B,,34339,34380,1EBE,1EBD,,34347,34389,1E8D,1E8C,,34339,34380,1E98,1E9F,,34339,34380,1EA0,1E9F,,34339,34380,1E8E,1E8D,,34330,34372,1E8F,1E8E,,34339,34380,1E90,1E97,,34339,34380,1EAE,1EB5,,34330,34372,D56A,D569,,34330,34372,D561,D560,,34330,34372,D566,D565,,34339,34380,1E94,1E93
2,34356,34397,9232,9231,,34339,34380,1EB6,1EBD,,34356,34397,923B,923A,,34356,34397,9232,9231,,34364,34405,9233,923A,,34356,34397,9243,9242,,34356,34397,9233,9232,,34347,34389,9235,9234,,34356,34397,9233,923A,,34356,34397,9233,923A,,34339,34380,1EAD,1EAC,,34347,34389,922A,9229,,34347,34389,1EA9,1EA8,,34356,34397,922F,922E
3,34372,34414,CF1B,CF1A,,34356,34397,9233,923A,,34372,34414,CF2C,CF2B,,34381,34422,CF04,CF03,,34372,34414,CF05,CF0C,,34372,34414,CF14,CF13,,34381,34422,CF0C,CF0B,,34372,34414,CF05,CF04,,34372,34414,CEFD,CF04,,34372,34414,CF14,CF1B,,34364,34405,9233,9232,,34356,34397,1EAD,1EAC,,34372,34414,9237,9236,,34372,34414,CF01,CF00
4,34389,34431,1714,1713,,34372,34414,CF1C,CF23,,34389,34431,171E,171D,,34389,34431,1714,1713,,34397,34439,170C,1713,,34389,34431,171E,171D,,34389,34431,1715,1714,,34381,34422,170C,170B,,34389,34431,170D,1714,,34389,34431,170E,1715,,34372,34414,CF24,CF23,,34364,34405,922A,9229,,34381,34422,CF20,CF1F,,34389,34431,1711,1710
5,34406,34447,5FC9,5FC8,,34389,34431,1717,171E,,34406,34447,5FD1,5FD0,,34406,34447,5FC9,5FC8,,34414,34456,5FC9,5FD0,,34406,34447,5FD2,5FD1,,34406,34447,5FC9,5FC8,,34397,34439,5FB7,5FB6,,34406,34447,5FC1,5FC8,,34406,34447,5FC2,5FC9,,34389,34431,170C,170B,,34381,34422,CF1E,CF1D,,34397,34439,1712,1711,,34406,34447,5FC5,5FC4
