Area,0,,1,,2,,3,,4,
Berry Forest,PSYDUCK,5-20,PSYDUCK,20-35,PSYDUCK,35-40,GOLDUCK,35-40,GOLDUCK,35-40
Bond Bridge,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Cape Brink,PSYDUCK,5-20,PSYDUCK,20-35,PSYDUCK,35-40,GOLDUCK,35-40,GOLDUCK,35-40
Celadon City,PSYDUCK,5-10,PSYDUCK,10-20,PSYDUCK,20-30,PSYDUCK,30-40,KOFFING,30-40
Cerulean Cave 1F,PSYDUCK,30-40,GOLDUCK,40-50,GOLDUCK,45-55,PSYDUCK,40-50,PSYDUCK,40-50
Cerulean Cave B1F,PSYDUCK,40-50,GOLDUCK,50-60,GOLDUCK,55-65,PSYDUCK,50-60,PSYDUCK,50-60
Cerulean City,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Cinnabar Island,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Five Island,TENTACOOL,5-35,HOPPIP,5-15,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Five Isle Meadow,TENTACOOL,5-35,HOPPIP,5-15,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Four Island,WOOPER,5-15,PSYDUCK,5-35,WOOPER,15-25,WOOPER,15-25,WOOPER,15-25
Fuchsia City,PSYDUCK,20-25,PSYDUCK,20-25,PSYDUCK,25-30,PSYDUCK,30-35,PSYDUCK,35-40
Green Path,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Icefall Cave Back Cavern,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-45,TENTACRUEL,35-45,LAPRAS,30-45
Icefall Cave Entrance,SEEL,5-35,PSYDUCK,5-35,DEWGONG,35-40,WOOPER,5-15,WOOPER,5-15
Kindle Road,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Memorial Pillar,TENTACOOL,5-35,HOPPIP,5-15,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
One Island,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Outcast Island,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Pallet Town,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Resort Gorgeous,TENTACOOL,5-20,HOPPIP,5-15,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Route 10,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 11,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 12,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 13,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 19,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 20,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 21,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 22,PSYDUCK,20-25,PSYDUCK,20-25,PSYDUCK,25-30,PSYDUCK,30-35,PSYDUCK,35-40
Route 23,PSYDUCK,20-25,PSYDUCK,20-25,PSYDUCK,25-30,PSYDUCK,30-35,PSYDUCK,35-40
Route 24,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 25,PSYDUCK,20-25,PSYDUCK,20-25,PSYDUCK,25-30,PSYDUCK,30-35,PSYDUCK,35-40
Route 4,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 6,PSYDUCK,20-25,PSYDUCK,20-25,PSYDUCK,25-30,PSYDUCK,30-35,PSYDUCK,35-40
Ruin Valley,WOOPER,5-20,WOOPER,10-20,WOOPER,15-25,WOOPER,20-25,WOOPER,20-25
S.S. Anne,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Safari Zone Area 1 - East,PSYDUCK,20-25,PSYDUCK,20-25,PSYDUCK,25-30,PSYDUCK,30-35,PSYDUCK,35-40
Safari Zone Area 2 - North,PSYDUCK,20-25,PSYDUCK,20-25,PSYDUCK,25-30,PSYDUCK,30-35,PSYDUCK,35-40
