Seeds for the ENGLISH Leaf Green version farmed by po and 10Ben.,,,,,,,,,,,,,,
#,Intro Time ms (GBA),Intro Time ms (NDS),MONO/LR,MONO/L=A,MONO/HELP,STEREO/LR,STEREO/L=A,STEREO/HELP,"MONO/LR, Start","MONO/L=A, Start","MONO/HELP, Start","STEREO/LR, Start","STEREO/L=A, Start","STEREO/HELP, Start"
1,33703,34699,A088,A075,A080,A0B3,A0B7,A0AB,,,,,,
2,33719,34715,ECCF,ECC4,ECC6,ECC5,ECBC,ECBD,,,,,,
3,33736,34732,36B5,36A7,36A8,36CE,36CF,36D0,,,,,,
4,33753,34749,7F43,7F42,7F44,7F43,7F42,7F44,,,,,,
5,33770,34766,C938,C92C,C92F,C95B,C944,C951,,,,,,
6,33786,34783,11B7,11B5,11AF,11B7,11AC,11AF,,,,,,
7,33803,34799,3FCC,3FC2,3FC4,3FEA,3FE1,3FE2,,,,,,
8,33820,34816,96DE,96D5,96DE,9704,96FE,96FC,,,,,,
9,33837,34833,D4C9,D4C0,D4CA,D4C9,D4C0,D4C1,,,,,,
10,33853,34850,1E96,1E8D,1E98,1EB5,1EAC,1EB6,,,,,,
11,33870,34866,9243,9232,923D,9243,923A,923B,,,,,,
12,33887,34883,CF14,CF04,CF05,CF30,CF1B,CF1C,,,,,,
13,33903,34900,171D,1714,170C,171E,170B,1715,,,,,,
14,33920,34917,5FC8,5FC8,5FC0,5FC8,5FBF,5FCA,,,,,,
15,33937,34933,A911,A908,A90B,A911,A908,A90B,,,,,,
16,33954,34950,EE61,EE58,EE62,EE7F,EE76,EE7F,EE59,EE50,EE5A,EE77,EE76,EE77
17,33970,34967,3B9B,3B88,3B96,3B91,3B88,3B93,3B93,3B80,3B81,3B89,3B80,3B8B
18,33987,34984,84D4,84CB,84CC,84D4,84CB,84CC,84CC,84C4,84B9,84CC,84B8,84B9
19,34004,35000,CE0C,CE0C,CE0D,CE0C,CE0C,CE04,CE0D,CE04,CDFC,CE0D,CE04,CE05
20,34021,35017,FC35,FC2E,FC21,FC35,FC2E,FC2B,FC21,FC18,FC23,FC21,FC18,FC19
21,34037,35034,08EB,08D7,08E0,08EB,08D7,08E0,08DF,08D8,08D7,08DF,08D8,08D7
22,34054,35051,5278,526F,526A,528F,528E,5291,5271,526B,525F,5287,5285,5286
23,34071,35068,998F,997E,997F,9987,9986,9987,997F,9980,9976,997F,9975,9977
24,34088,35084,4A8E,4A78,4A84,4AC5,4AB9,4ABA,4A84,4A70,4A7C,4ABA,4AA7,4AB2
25,34104,35101,7D3F,7D2A,7D2B,7D67,7D6B,7D61,7D28,7D2F,7D1F,7D6B,7D5D,7D61
26,34121,35118,C642,C63A,C63B,C680,C66F,C66F,C642,C63A,C630,C671,C667,C671
27,34138,35135,0F27,0F1E,0F1D,0F30,0F25,0F1D,0F1D,0F16,0F1E,0F1D,0F1F,0F1E
28,34155,35151,5A74,5A75,5A75,5AE2,5AE1,5ADE,5A69,5A6C,5A6C,5ADA,5AD7,5ADA
29,34171,35168,9FBF,9FB7,9FB7,9FC2,9FB7,9FBA,9FB7,9FAE,9FB0,9FBA,9FAF,9FA6
30,34188,35185,0416,040F,040E,044B,0445,0443,0409,0400,0401,0440,0437,0438
31,34205,35202,3009,3000,3001,304B,303F,3040,300B,3004,3005,3037,302E,302F
32,34222,35218,7DCA,7DBA,7DC5,7E00,7DF6,7DEF,7DBA,7DBA,7DB0,7DFB,7DF1,7DE3
33,34238,35235,C77B,C773,C77C,C7BA,C7B0,C7A9,C773,C773,C769,C7B0,C7AB,C7A9
34,34255,35252,0FFB,0FF0,0FF3,1005,0FF9,0FFB,0FFC,0FEB,0FF4,0FF3,0FF1,0FEB
35,34272,35269,596C,5963,5959,59A0,598F,598D,5957,594D,5953,598F,5984,5988
36,34289,35285,A2A0,A296,A297,A2DF,A2D7,A2D6,A2A0,A296,A28F,A2CD,A2CF,A2C5
37,34305,35302,08F3,08EA,08EB,0933,0929,092A,08F4,08ED,08E3,0921,0918,0923
38,34322,35319,3906,38FC,3908,3943,393C,3935,38FD,38FC,38F5,393E,3929,3936
39,34339,35336,822D,8223,821D,8259,8251,8259,8226,821A,821E,8252,8252,8252
40,34356,35352,CB02,CAF0,CAFA,CAF7,CAF8,CAFA,CAF1,CAF1,CAF3,CAFB,CAF3,CAE9
41,34372,35369,1489,1476,1477,14BD,14AC,14B4,1483,1478,1470,14B8,14AE,14A6
42,34389,35386,5E33,5E27,5E20,5E5D,5E5F,5E60,5E1F,5E1D,5E20,5E5F,5E4D,5E57
43,34406,35403,A4E5,A4E5,A4E6,A4E5,A4E8,A4E6,A4DC,A4DD,A4DE,A4DC,A4D3,A4D4
44,34423,35420,ED55,ED47,ED4C,ED53,ED47,ED4D,ED4C,ED39,ED44,ED4E,ED3F,ED44
45,34439,35436,3680,367B,367C,3680,3683,367C,3683,3673,367F,3683,367F,367F
46,34456,35453,73EA,73E1,73E2,73EA,73E1,73E2,73EB,73E2,73DA,73EB,73E4,73DA
47,34473,35470,B679,B679,B671,B682,B679,B671,B67A,B671,B672,B67A,B671,B672
48,34489,35487,FF44,FF44,FF45,FF44,FF44,FF45,FF3C,FF33,FF34,FF3C,FF33,FF34
