Area,0,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,
Altering Cave (Default),ZUBAT,10,ZUBAT,12,ZUBAT,8,ZUBAT,14,ZUBAT,10,ZUBAT,12,ZUBAT,16,ZUBAT,6,ZUBAT,8,ZUBAT,14,ZUBAT,8,ZUBAT,14
Altering Cave (Mystery Gift),MAREEP,7,MAREEP,9,MAREEP,5,MAREEP,11,MAREEP,7,MAREEP,9,MAREEP,13,MAREEP,3,MAREEP,5,MAREEP,11,MAREEP,5,MAREEP,11
Altering Cave (Mystery Gift),PINECO,23,PINECO,25,PINECO,22,PINECO,27,PINECO,23,PINECO,25,PINECO,29,PINECO,19,PINECO,21,PINECO,27,PINECO,21,PINECO,27
Altering Cave (Mystery Gift),HOUNDOUR,16,HOUNDOUR,18,HOUNDOUR,14,HOUNDOUR,20,HOUNDOUR,16,HOUNDOUR,18,HOUNDOUR,22,HOUNDOUR,12,HOUNDOUR,14,HOUNDOUR,20,HOUNDOUR,14,HOUNDOUR,20
Altering Cave (Mystery Gift),TEDDIURSA,22,TEDDIURSA,24,TEDDIURSA,20,TEDDIURSA,26,TEDDIURSA,22,TEDDIURSA,24,TEDDIURSA,28,TEDDIURSA,18,TEDDIURSA,20,TEDDIURSA,26,TEDDIURSA,20,TEDDIURSA,26
Altering Cave (Mystery Gift),AIPOM,22,AIPOM,24,AIPOM,20,AIPOM,26,AIPOM,22,AIPOM,24,AIPOM,28,AIPOM,18,AIPOM,20,AIPOM,26,AIPOM,20,AIPOM,26
Altering Cave (Mystery Gift),SHUCKLE,22,SHUCKLE,24,SHUCKLE,20,SHUCKLE,26,SHUCKLE,22,SHUCKLE,24,SHUCKLE,28,SHUCKLE,18,SHUCKLE,20,SHUCKLE,26,SHUCKLE,20,SHUCKLE,26
Altering Cave (Mystery Gift),STANTLER,22,STANTLER,24,STANTLER,20,STANTLER,26,STANTLER,22,STANTLER,24,STANTLER,28,STANTLER,18,STANTLER,20,STANTLER,26,STANTLER,20,STANTLER,26
Altering Cave (Mystery Gift),SMEARGLE,22,SMEARGLE,24,SMEARGLE,20,SMEARGLE,26,SMEARGLE,22,SMEARGLE,24,SMEARGLE,28,SMEARGLE,18,SMEARGLE,20,SMEARGLE,26,SMEARGLE,20,SMEARGLE,26
Berry Forest ,PIDGEOTTO,37,WEEPINBELL,35,PIDGEY,32,BELLSPROUT,30,VENONAT,34,DROWZEE,34,EXEGGCUTE,35,SLOWPOKE,31,VENOMOTH,37,HYPNO,37,VENOMOTH,40,HYPNO,40
Bond Bridge,PIDGEY,32,BELLSPROUT,31,PIDGEY,29,WEEPINBELL,36,PIDGEOTTO,34,MEOWTH,31,VENONAT,34,SLOWPOKE,31,PIDGEOTTO,37,PERSIAN,37,PIDGEOTTO,40,PERSIAN,40
