Area,0,,1,,2,,3,,4,
Berry Forest,SLOWPOKE,5-20,SLOWPOKE,20-35,SLOWPOKE,35-40,SLOWBRO,35-40,SLOWBRO,35-40
Bond Bridge,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Cape Brink,SLOWPOKE,5-20,SLOWPOKE,20-35,SLOWPOKE,35-40,SLOWBRO,35-40,SLOWBRO,35-40
Celadon City,SLOWPOKE,5-10,SLOWPOKE,10-20,SLOWPOKE,20-30,SLOWPOKE,30-40,KOFFING,30-40
Cerulean Cave 1F,SLOWPOKE,30-40,SLOWBRO,40-50,SLOWBRO,45-55,SLOWPOKE,40-50,SLOWPOKE,40-50
Cerulean Cave B1F,SLOWPOKE,40-50,SLOWBRO,50-60,SLOWBRO,55-65,SLOWPOKE,50-60,SLOWPOKE,50-60
Cerulean City,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Cinnabar Island,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Five Island,TENTACOOL,5-35,HOPPIP,5-15,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Five Isle Meadow,TENTACOOL,5-35,HOPPIP,5-15,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Four Island,MARILL,5-15,SLOWPOKE,5-35,MARILL,15-25,MARILL,15-25,MARILL,15-25
Fuchsia City,SLOWPOKE,20-25,SLOWPOKE,20-25,SLOWPOKE,25-30,SLOWPOKE,30-35,SLOWPOKE,35-40
Green Path,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Icefall Cave Entrance,SEEL,5-35,SLOWPOKE,5-35,DEWGONG,35-40,MARILL,5-15,MARILL,5-15
Icefall Cave Back Cavern,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-45,TENTACRUEL,35-45,LAPRAS,30-45
Kindle Road,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Memorial Pillar,TENTACOOL,5-35,HOPPIP,5-15,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
One Island,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Outcast Island,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Pallet Town,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Resort Gorgeous,TENTACOOL,5-35,HOPPIP,5-15,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Route 4,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 6,SLOWPOKE,20-25,SLOWPOKE,20-25,SLOWPOKE,25-30,SLOWPOKE,30-35,SLOWPOKE,35-40
Route 10,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 11,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 12,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 13,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 19,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 20,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 21,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 22,SLOWPOKE,20-25,SLOWPOKE,20-25,SLOWPOKE,25-30,SLOWPOKE,30-35,SLOWPOKE,35-40
Route 23,SLOWPOKE,20-25,SLOWPOKE,20-25,SLOWPOKE,25-30,SLOWPOKE,30-35,SLOWPOKE,35-40
